index_id,result_from,creationDate,daysOnZillow,isPreforeclosureAuction,lotAreaValue,latitude,unit,livingArea,streetAddress,shouldHighlight,isNonOwnerOccupied,longitude,price,isFeatured,priceChange,listing_sub_type,rentZestimate,newConstructionType,homeStatusForHDP,zpid,currency,isUnmappable,isShowcaseListing,bathrooms,open_house_info,priceReduction,state,homeStatus,openHouse,bedrooms,taxAssessedValue,city,zipcode,isPremierBuilder,lotAreaUnit,priceForHDP,homeType,country,datePriceChanged,isZillowOwned,zestimate,timeOnZillow
1,listing_url,2024-04-30,1,false,7588.152,29.714588,,1680,124 Carson Ct,false,true,-95.38001,425000,false,,[object Object],1734,,FOR_SALE,27849344,USD,false,false,1,,,TX,FOR_SALE,,2,434528,Houston,77004,false,sqft,425000,SINGLE_FAMILY,USA,,false,425500,103807000
2,listing_url,2024-04-30,46,false,1851,29.732788,,2176,3503 Bastrop St,false,true,-95.36786,450000,false,-15000,[object Object],3150,,FOR_SALE,243981965,USD,false,false,4,,"$15,000 (Apr 26)",TX,FOR_SALE,,3,375158,Houston,77004,false,sqft,450000,SINGLE_FAMILY,USA,1714114800000,false,426800,4046493000
3,listing_url,2024-04-30,2,false,5000.688,29.71944,,2660,2905 Wichita St,false,true,-95.37024,549999,false,-29001,[object Object],3134,,FOR_SALE,27758950,USD,false,false,3,,"$29,001 (Apr 28)",TX,FOR_SALE,,4,512199,Houston,77004,false,sqft,549999,SINGLE_FAMILY,USA,1714287600000,false,549900,241774000
4,listing_url,2024-04-30,11,false,5248.98,29.720186,,2286,3109 Arbor St,false,true,-95.36711,374900,false,,[object Object],2979,,FOR_SALE,84024956,USD,false,false,3,,,TX,FOR_SALE,,3,385736,Houston,77004,false,sqft,374900,SINGLE_FAMILY,USA,,false,364400,972810000
5,listing_url,2024-04-30,32,false,1438,29.739664,# 17,2267,2020 McGowen St #17,false,true,-95.36525,400000,false,,[object Object],2996,,FOR_SALE,346440412,USD,false,false,4,,,TX,FOR_SALE,,3,,Houston,77004,false,sqft,400000,TOWNHOUSE,USA,,false,399300,2776509000
6,listing_url,2024-04-30,11,false,2661.516,29.73169,,1791,3418 Drew St,false,true,-95.350845,442500,false,,[object Object],2600,BUILDER_SPEC,FOR_SALE,27787560,USD,false,false,3,,,TX,FOR_SALE,,3,115000,Houston,77004,false,sqft,442500,SINGLE_FAMILY,USA,,false,,969471000
7,listing_url,2024-04-30,54,false,1405,29.737148,,1872,2020 Tuam St,false,true,-95.367065,369000,false,-20000,[object Object],2600,,FOR_SALE,80524263,USD,false,true,4,,"$20,000 (Mar 28)",TX,FOR_SALE,,3,348399,Houston,77004,false,sqft,369000,TOWNHOUSE,USA,1711609200000,false,347200,4746273000
8,listing_url,2024-04-30,86,false,7078.5,29.71421,,1905,3878 Arbor St,false,true,-95.350975,450000,false,-15000,[object Object],2199,,FOR_SALE,27888922,USD,false,false,2,,"$15,000 (Feb 14)",TX,FOR_SALE,,3,397765,Houston,77004,false,sqft,450000,SINGLE_FAMILY,USA,1707897600000,false,425000,7437507000
9,listing_url,2024-04-30,1,false,5800,29.734886,,710,3311 & 3315 Bremond St,false,true,-95.35237,350000,false,,[object Object],950,,FOR_SALE,2067916977,USD,false,false,2,,,TX,FOR_SALE,,3,,Houston,77004,false,sqft,350000,MULTI_FAMILY,USA,,false,,87332000
10,listing_url,2024-04-30,241,false,5250,29.728523,,2130,2705 Truxillo St,false,true,-95.3655,390000,false,,[object Object],2139,,FOR_SALE,27850630,USD,false,false,2,,,TX,FOR_SALE,,4,468896,Houston,77004,false,sqft,390000,MULTI_FAMILY,USA,,false,353500,20843988000
11,listing_url,2024-04-30,29,false,5248.98,29.727848,,1597,2512 Cleburne St,false,true,-95.36838,373900,false,,[object Object],2500,,FOR_SALE,27850523,USD,false,false,3,,,TX,FOR_SALE,,3,295610,Houston,77004,false,sqft,373900,SINGLE_FAMILY,USA,,false,346700,2529603000
12,listing_url,2024-04-30,6,false,5000.688,29.729387,,1479,3612 Anita St,false,true,-95.348145,395000,false,-55000,[object Object],2199,,FOR_SALE,328632739,USD,false,false,3,,"$55,000 (Apr 17)",TX,FOR_SALE,,3,415567,Houston,77004,false,sqft,395000,SINGLE_FAMILY,USA,1713337200000,false,388100,587890000
13,listing_url,2024-04-30,49,false,6669.036,29.713291,,2244,3217 Binz St,false,true,-95.36801,425000,false,-25000,[object Object],2949,,FOR_SALE,27876382,USD,false,false,3,,"$25,000 (Apr 6)",TX,FOR_SALE,,3,310500,Houston,77004,false,sqft,425000,SINGLE_FAMILY,USA,1712386800000,false,402800,4316897000
14,listing_url,2024-04-30,1,false,5000.688,29.729712,,,3508 Anita St,false,true,-95.34922,300000,false,,[object Object],1599,,FOR_SALE,27756250,USD,false,false,0,,,TX,FOR_SALE,,,135000,Houston,77004,false,sqft,300000,LOT,USA,,false,,100151000
15,listing_url,2024-04-30,13,false,5998.212,29.72634,,1279,1918 Wentworth St,false,true,-95.37672,390000,false,,[object Object],2169,,FOR_SALE,27849022,USD,false,false,2,,,TX,FOR_SALE,,2,324464,Houston,77004,false,sqft,390000,SINGLE_FAMILY,USA,,false,375800,1198771000
16,listing_url,2024-04-30,2,false,5250,29.730898,,2322,2302 Alabama St,false,true,-95.368866,410000,false,,[object Object],2140,,FOR_SALE,27850419,USD,false,false,1,,,TX,FOR_SALE,,2,303140,Houston,77004,false,sqft,410000,MULTI_FAMILY,USA,,false,405300,198560000
17,listing_url,2024-04-30,5,false,2212.848,29.715328,,2071,2611 Riverside Dr,false,true,-95.37437,475000,false,,[object Object],3200,,FOR_SALE,97631799,USD,false,false,4,,,TX,FOR_SALE,,3,487167,Houston,77004,false,sqft,475000,SINGLE_FAMILY,USA,,false,472500,442291000
18,listing_url,2024-04-30,11,false,1.7318,29.74295,# C4D,1347,2401 Crawford St #C4D,false,true,-95.368065,364999,false,,[object Object],2299,,FOR_SALE,251269471,USD,false,false,4,,,TX,FOR_SALE,,3,381222,Houston,77004,false,acres,364999,TOWNHOUSE,USA,,false,359800,977174000
19,listing_url,2024-04-30,10,false,1.7318,29.74295,Unit A106,468,2401 Crawford St UNIT A106,false,true,-95.368065,189990,false,,[object Object],1117,,FOR_SALE,251277055,USD,false,false,1,,,TX,FOR_SALE,,1,177996,Houston,77004,false,acres,189990,CONDO,USA,,false,186900,890757000
20,listing_url,2024-04-30,8,false,1434,29.739597,,1962,1725 Tuam St,false,true,-95.368774,388000,false,-1000,[object Object],2500,,FOR_SALE,55477560,USD,false,false,3,,,TX,FOR_SALE,,3,355226,Houston,77004,false,sqft,388000,TOWNHOUSE,USA,1693378800000,false,382800,718088000
21,listing_url,2024-04-30,7,false,4748.04,29.726734,,1899,3439 Reeves St,false,true,-95.35243,399990,false,-9910,[object Object],2835,,FOR_SALE,27797150,USD,false,false,4,,"$9,910 (Apr 23)",TX,FOR_SALE,,4,426975,Houston,77004,false,sqft,399990,SINGLE_FAMILY,USA,1713855600000,false,390900,683209000
22,listing_url,2024-04-30,4,false,1607.364,29.736412,# A,2084,1706 Francis St #A,false,true,-95.371895,497500,false,,[object Object],2999,,FOR_SALE,126259589,USD,false,false,4,[object Object],,TX,FOR_SALE,Sun. 12-2pm,3,376953,Houston,77004,false,sqft,497500,SINGLE_FAMILY,USA,,false,495400,350514000
23,listing_url,2024-04-30,28,false,5941.584,29.714754,,2566,3226 Oakdale St,false,true,-95.366455,635000,false,,[object Object],3670,,FOR_SALE,27869413,USD,false,false,5,,,TX,FOR_SALE,,4,272696,Houston,77004,false,sqft,635000,SINGLE_FAMILY,USA,,false,602300,2427189000
24,listing_url,2024-04-30,6,false,2500,29.731747,# B,1784,1404 Wheeler St #B,false,true,-95.379295,360000,false,-15500,[object Object],2597,,FOR_SALE,2058922647,USD,false,false,3,,"$15,500 (Mar 7)",TX,FOR_SALE,,3,,Houston,77004,false,sqft,360000,TOWNHOUSE,USA,1709798400000,false,,545945000
25,listing_url,2024-04-30,4,false,6600,29.719372,,2412,2412 Prospect St,false,true,-95.37629,539900,false,,[object Object],2176,,FOR_SALE,27849243,USD,false,false,2,,,TX,FOR_SALE,,3,322233,Houston,77004,false,sqft,539900,MULTI_FAMILY,USA,,false,509000,352068000
26,listing_url,2024-04-30,10,false,2365.308,29.736,,3055,1715 Holman St,false,true,-95.37176,765000,false,,[object Object],4133,,FOR_SALE,306563473,USD,false,false,4,,,TX,FOR_SALE,,3,668283,Houston,77004,false,sqft,765000,SINGLE_FAMILY,USA,,false,751100,883318000
27,listing_url,2024-04-30,67,false,2500.344,29.733053,,2238,2917 Sauer St,false,true,-95.358604,415000,false,,[object Object],3314,BUILDER_SPEC,FOR_SALE,27811184,USD,false,false,4,,,TX,FOR_SALE,,3,436467,Houston,77004,false,sqft,415000,SINGLE_FAMILY,USA,,false,394000,5872040000
28,listing_url,2024-04-30,58,false,2648.448,29.7322,,1184,3334 Drew St,false,true,-95.35262,249000,false,,[object Object],1856,,FOR_SALE,27787557,USD,false,false,2,,,TX,FOR_SALE,,3,158374,Houston,77004,false,sqft,249000,SINGLE_FAMILY,USA,,false,227300,5097231000
29,listing_url,2024-04-30,90,false,2500.344,29.719772,,2348,2811 Wichita St,false,true,-95.37081,439990,false,-5000,[object Object],3549,BUILDER_SPEC,FOR_SALE,97642449,USD,false,false,5,,"$5,000 (Mar 5)",TX,FOR_SALE,,4,481605,Houston,77004,false,sqft,439990,SINGLE_FAMILY,USA,1709625600000,false,422100,7790662000
30,listing_url,2024-04-30,8,false,1400,29.729368,,1625,1830 Wheeler St,false,true,-95.37537,335000,false,,[object Object],2394,,FOR_SALE,68422977,USD,false,false,2,,,TX,FOR_SALE,,2,329162,Houston,77004,false,sqft,335000,TOWNHOUSE,USA,,false,324800,729501000
31,listing_url,2024-04-30,118,false,5998.212,29.726044,,2292,2010 Wentworth St,false,true,-95.37623,420000,false,,[object Object],3200,,FOR_SALE,27849026,USD,false,false,3,,,TX,FOR_SALE,,4,292528,Houston,77004,false,sqft,420000,SINGLE_FAMILY,USA,,false,392900,10210225000
32,listing_url,2024-04-30,4,false,6098.4,29.718674,,2250,3548 Ruth St,false,true,-95.35652,329500,false,,[object Object],2034,,FOR_SALE,27917393,USD,false,false,2,,,TX,FOR_SALE,,5,317909,Houston,77004,false,sqft,329500,SINGLE_FAMILY,USA,,false,324100,382145000
33,listing_url,2024-04-30,60,false,5250,29.727497,,2712,2907 Truxillo St,false,true,-95.3638,499999,false,-15001,[object Object],1843,,FOR_SALE,27850787,USD,false,false,2,,"$15,001 (Apr 8)",TX,FOR_SALE,,4,313405,Houston,77004,false,sqft,499999,MULTI_FAMILY,USA,1712559600000,false,460700,5190788000
34,listing_url,2024-04-30,4,false,1796,29.741636,,1594,2706 Crawford St,false,true,-95.36983,380000,false,,[object Object],2500,,FOR_SALE,52418901,USD,false,false,3,[object Object],,TX,FOR_SALE,Thu. 4-6pm,2,353120,Houston,77004,false,sqft,380000,TOWNHOUSE,USA,,false,378500,366113000
35,listing_url,2024-04-30,59,false,6600,29.723969,,2692,2404 Wentworth St,false,true,-95.37287,410000,false,-9999,[object Object],1858,,FOR_SALE,27849116,USD,false,false,2,,"$9,999 (Apr 19)",TX,FOR_SALE,,4,469500,Houston,77004,false,sqft,410000,MULTI_FAMILY,USA,1713510000000,false,386000,5115340000
36,listing_url,2024-04-30,104,false,,29.722132,Unit 6D,932,1400 Hermann Dr UNIT 6D,false,true,-95.38712,169995,false,-3955,[object Object],1038,,FOR_SALE,28274979,USD,false,false,1,,"$3,955 (Apr 16)",TX,FOR_SALE,,1,158167,Houston,77004,false,,169995,CONDO,USA,1713250800000,false,158500,9064241000
37,listing_url,2024-04-30,22,false,1850,29.743877,,2430,2412 La Branch St,false,true,-95.36932,439900,false,,[object Object],3200,,FOR_SALE,84028575,USD,false,false,4,,,TX,FOR_SALE,,3,450251,Houston,77004,false,sqft,439900,TOWNHOUSE,USA,,false,424800,1927238000
38,listing_url,2024-04-30,40,false,2500,29.740368,,2600,2516 ST Emanuel St,false,true,-95.364456,565000,false,-10000,[object Object],3399,BUILDER_SPEC,FOR_SALE,2084239814,USD,false,false,3,,"$10,000 (Apr 23)",TX,FOR_SALE,,3,,Houston,77004,false,sqft,565000,SINGLE_FAMILY,USA,1713855600000,false,547300,3480593000
39,listing_url,2024-04-30,50,false,1498.464,29.735344,,1905,2815 Live Oak St,false,true,-95.361496,389999,false,-25001,[object Object],2890,,FOR_SALE,329229074,USD,false,false,4,,"$25,001 (Apr 1)",TX,FOR_SALE,,3,361848,Houston,77004,false,sqft,389999,SINGLE_FAMILY,USA,1711954800000,false,380800,4321303000
40,listing_url,2024-04-30,14,false,,29.735151,# B,1884,3512 Mosley Ct #B,false,true,-95.37299,449500,false,,[object Object],2629,,FOR_SALE,2054531585,USD,false,false,3,,,TX,FOR_SALE,,3,,Houston,77004,false,,449500,TOWNHOUSE,USA,,false,448500,1243651000
41,listing_url,2024-04-30,45,false,6899.904,29.714508,,1402,3327 Oakdale St,false,true,-95.3647,369000,false,,[object Object],1949,,FOR_SALE,27852748,USD,false,false,2,,,TX,FOR_SALE,,2,320999,Houston,77004,false,sqft,369000,SINGLE_FAMILY,USA,,false,348900,3899771000